ID Easting Northing Altitude Retro Angle Distance UTC Long Lat Pic
2123510.0 735455.48 3752118.159 288.144 0.776 0.59185 7.87 69052.64171 -84.454141468 33.883156091 303
2123511.0 735455.475 3752118.163 288.051 0.784 0.58157 7.8229999999999995 69052.64173999999 -84.454141522 33.883156133 303
2123512.0 735455.471 3752118.163 287.956 0.745 0.57129 7.771 69052.64177999999 -84.454141564 33.883156129 303
2123642.0 735455.413 3752118.083 288.153 0.773 0.61244 7.64 69052.65496 -84.454142213 33.883155425 303
2123643.0 735455.405 3752118.097 288.068 0.776 0.60217 7.604 69052.65499 -84.45414229100001 33.883155552 303
2123644.0 735455.399 3752118.105 287.98 0.784 0.5918899999999999 7.562 69052.65502 -84.45414235300001 33.883155625 303
2123774.0 735455.339 3752118.03 288.165 0.776 0.63283 7.433 69052.6682 -84.454143022 33.883154959 303
2123775.0 735455.333 3752118.039 288.078 0.776 0.62255 7.39 69052.66824 -84.45414308699999 33.883155041 303
2123776.0 735455.325 3752118.054 287.996 0.792 0.61228 7.357 69052.66827000001 -84.45414316600001 33.883155177 303
2123906.0 735455.26 3752117.993 288.18 0.769 0.65332 7.246 69052.68145 -84.45414388 33.883154642 303
2123907.0 735455.256 3752117.997 288.091 0.776 0.64304 7.196000000000001 69052.68148 -84.454143931 33.88315468 303
2123908.0 735455.254 3752117.99 287.995 0.78 0.63276 7.1339999999999995 69052.68152 -84.45414395600001 33.883154623 303
2124038.0 735455.188 3752117.931 288.167 0.773 0.6739 7.025 69052.6947 -84.45414468199999 33.883154106999996 303
2124039.0 735455.182 3752117.941 288.083 0.773 0.66362 6.981 69052.69472999999 -84.454144745 33.88315419 303
2124040.0 735455.179 3752117.936 287.99 0.78 0.65333 6.921 69052.69477 -84.454144775 33.883154151999996 303
2124170.0 735455.112 3752117.879 288.147 0.761 0.69426 6.809 69052.70795 -84.454145513 33.883153648000004 303
2124171.0 735455.109 3752117.875 288.055 0.769 0.68398 6.749 69052.70797999999 -84.454145544 33.883153617 303
2124172.0 735455.142 3752117.736 287.853 0.765 0.67364 6.511 69052.70801 -84.45414522899999 33.883152359 303
2124303.0 735455.035 3752117.817 288.022 0.773 0.70443 6.522 69052.72123 -84.454146368 33.883153114 303
2191549.0 735374.61 3752249.023 285.47 0.702 -0.0038299999999999996 15.084000000000001 69060.51223 -84.454980083 33.884353255 334
2191550.0 735374.611 3752249.006 285.315 0.839 -0.014119999999999999 15.072000000000001 69060.51226 -84.45498007 33.884353108 334
2191629.0 735374.517 3752248.988 285.479 0.824 -0.00373 14.828 69060.52555 -84.45498109399999 33.884352962 334
2191630.0 735374.521 3752248.957 285.327 0.847 -0.01402 14.800999999999998 69060.52558 -84.454981061 33.884352682 334
2191631.0 735374.518 3752248.974 285.174 0.792 -0.0243 14.824000000000002 69060.52561 -84.454981093 33.884352836 334
2191706.0 735374.433 3752248.902 285.635 0.784 0.00645 14.517999999999999 69060.53882999999 -84.454982027 33.884352208 334
2191707.0 735374.431 3752248.909 285.486 0.835 -0.0038299999999999996 14.527999999999999 69060.53886 -84.454982045 33.884352274 334
2191708.0 735374.43 3752248.912 285.336 0.843 -0.014119999999999999 14.535 69060.53889 -84.454982057 33.884352299 334
2191709.0 735374.427 3752248.922 285.186 0.831 -0.0244 14.550999999999998 69060.53893 -84.45498208 33.884352392 334
2191710.0 735374.427 3752248.919 285.036 0.78 -0.03469 14.555 69060.53896 -84.454982084 33.884352363000005 334
2191782.0 735374.336 3752248.9 285.787 0.725 0.016730000000000002 14.294 69060.55211 -84.45498307300001 33.884352208 334
2191783.0 735374.339 3752248.877 285.64 0.827 0.00645 14.272 69060.55215 -84.454983051 33.884352003000004 334
2191784.0 735374.34 3752248.862 285.494 0.82 -0.0038299999999999996 14.259 69060.55218 -84.45498303800001 33.884351864 334
2191785.0 735374.34 3752248.86 285.347 0.851 -0.014119999999999999 14.261 69060.55221000001 -84.454983043 33.884351846 334
2191786.0 735374.339 3752248.864 285.2 0.851 -0.0244 14.270999999999999 69060.55224 -84.454983056 33.884351885 334
2191787.0 735374.337 3752248.868 285.053 0.859 -0.03468 14.282 69060.55227999999 -84.45498307 33.884351922 334
2191788.0 735374.335 3752248.875 284.905 0.725 -0.044969999999999996 14.298 69060.55231 -84.454983087 33.884351988 334
2191860.0 735374.246 3752248.85 285.79 0.816 0.01683 14.023 69060.56543 -84.454984063 33.88435178 334
2191861.0 735374.247 3752248.836 285.646 0.839 0.00655 14.01 69060.56546 -84.454984051 33.884351655 334
2191862.0 735374.249 3752248.819 285.502 0.839 -0.00373 13.995 69060.5655 -84.454984036 33.8843515 334
2191863.0 735374.251 3752248.802 285.359 0.843 -0.01402 13.982000000000001 69060.56552999999 -84.454984021 33.884351349 334
2191864.0 735374.249 3752248.807 285.215 0.851 -0.0243 13.992 69060.56556 -84.45498403399999 33.88435139 334
2191865.0 735374.246 3752248.827 285.07 0.859 -0.03458 14.019 69060.56559 -84.454984068 33.884351569 334
2191866.0 735374.244 3752248.83 284.925 0.851 -0.04487 14.030999999999999 69060.56563 -84.454984081 33.884351601999995 334
2191939.0 735374.159 3752248.773 285.791 0.827 0.016730000000000002 13.724 69060.57875 -84.454985015 33.884351101 334
2191940.0 735374.158 3752248.776 285.65 0.827 0.00645 13.728 69060.57878 -84.454985026 33.884351129 334
